text_content,suspicious_keyword_count,sentiment_score,grammar_score,readability_score,legitimacy_score,urgency_score,word_count,sentence_count,avg_sentence_length,domain_age_days,ssl_certificate,domain_reputation,contact_info_present,social_media_links,privacy_policy_present,is_scam
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.19376185701729878,86.49149006946034,81.4454942294585,76.88008622052925,29.287785133145203,731,27,17.71305594881722,2488,1,94.11654126205761,0,0,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.06775513260787439,94.30821398737223,78.67686061290723,83.76133773146884,15.854830971663198,672,29,15.90258269905505,2992,1,78.23237894907045,1,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.17793103173125038,90.91573462353004,71.8043247691067,60.19576231286661,19.590384742227076,394,28,12.267412264745772,2041,1,78.38408323688945,1,0,0,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,7,0.40821753492194335,43.2199465027288,51.997865668175365,25.165623751704707,75.23273514565706,87,18,24.74109311365579,54,0,33.53799842219343,1,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,7,0.4979300302119652,43.378666352763055,30.500580743304692,11.875208245312324,71.6239939146527,141,10,19.521162116560443,80,1,26.573781940124025,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.3894295553740354,31.73761381676395,31.86736044394635,35.57243977595943,89.7044511825194,78,16,21.24477747614387,99,0,31.508367812168654,0,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.09852910851375155,83.07293388986956,78.57320187653794,72.62689586277678,29.228351556931468,366,26,12.87484722487583,769,1,75.10777456376307,1,0,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,-0.041793806885056344,92.54255123797003,75.56378523512713,74.01782988022508,12.134236382047085,674,26,18.625486954587622,2182,1,88.64556172102145,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.3218716556392163,32.42757849153757,40.07450446912904,15.20573544959526,80.84853266707385,69,6,19.61458116017998,25,0,34.38063320413555,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.16889365992024205,75.10678283939377,84.69743132227204,86.33497810727442,27.90212451460184,780,38,19.149189192723846,2956,1,96.00292006874031,1,1,0,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,-0.006523820469854558,87.78403658779919,69.7136506915177,81.40980849336461,27.473560691214974,604,37,18.932765508764028,752,1,82.82625566079136,0,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.44851697961984405,40.02149897006308,48.317476264757005,22.13582156721609,62.05059600929876,108,5,14.28637486889059,19,1,22.163332787883057,0,0,1,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.33891081561220304,47.41402802981088,33.479917533642386,23.321312476066087,78.78702964263192,188,8,16.026682009814863,17,1,29.01468156801297,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.1416821919453217,92.59704096077432,71.49322534370388,71.8870657361191,18.132510350999677,758,27,19.011367548835942,2181,0,93.64356819835658,1,0,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,8,0.2568548495173831,30.35119832192712,40.55085650319097,18.851221229624688,74.58001481392809,94,19,10.656086084634211,85,1,26.481540950350617,0,1,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.4232169300595868,54.352566505971296,48.54280153782325,36.44352339025065,68.33706291746603,113,14,19.863404691670347,89,0,41.992138880890245,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.4167603789513432,56.188375076292246,48.305622160239025,34.19683443584349,79.76350100132152,167,10,24.70865200269982,82,0,26.636283254588065,1,1,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.5119403955573398,31.188564760450713,42.012673681445726,13.147905352545246,67.26135047587583,170,18,12.1374331435227,80,0,26.310487397566057,0,0,1,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.3356119164194803,40.476287238379825,48.14889197175599,36.913307798577314,86.61259272795351,169,5,19.630474692314316,75,1,43.560219533418305,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,-0.011973498086123288,82.77062296012085,82.31454474213587,81.73267020807945,18.076220104949986,543,30,13.40871430355083,499,1,85.30741299409436,1,0,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,5,0.4381438645034416,35.16331808468333,53.13805519629702,12.050023145368126,72.9112424907238,197,16,16.87033317502388,99,1,28.02206083572624,0,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.2962127620335272,91.03494833691522,79.9655364050875,83.82181877648264,29.37845747437485,520,28,13.761951019222884,1684,0,70.69332005403376,1,0,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,-0.04937514539729637,91.53283607426965,82.29511791207699,73.36376065112802,24.2814235228467,329,25,17.987170849677945,1617,1,81.94464833754324,1,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.15749941297716932,81.70184868536685,65.69007752996652,68.64375386564075,25.368958009192355,741,37,17.697505549392915,1233,1,87.97297975308257,0,0,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.22675119435751315,75.27898037383822,78.14237678122547,70.95281760695417,22.229897054383983,626,39,14.739801753490433,2038,0,87.66808067687643,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.4715590900311362,53.189601639167606,53.78605071814202,33.29467907953054,78.34009806649941,74,15,17.113825314654303,79,1,26.657013823531187,1,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.28577287182719235,89.35741161103857,84.8525109690574,80.95013913838208,15.87588941308655,489,33,17.796463273270547,1625,0,91.09599354326461,0,1,0,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.17322783007604967,88.21454786218303,84.01212743159746,81.89035240941723,11.040916775122628,367,32,15.546562566181588,1544,1,85.96913091544499,1,0,0,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.2827970313753707,45.497178853379374,30.13764497901052,10.22992097947676,66.57206427305573,92,8,11.62038631196037,90,0,33.156154656123064,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.4718481330940431,32.28717653920693,36.8675953761973,34.20896472651981,73.78994611207983,95,17,16.8789691527076,3,0,33.36624916225673,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.5514516461493753,44.862708792118966,48.53652277847614,27.194525477721662,89.93077847771531,146,17,13.727337097216985,55,0,26.136337795083897,1,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.2560074154641796,37.91051407903849,36.662459834272056,31.96553735377187,67.52191981684793,102,11,18.59941567269101,17,0,31.494155847484926,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.30796448895687795,46.19528336724581,34.05034694728961,35.2458898093013,85.39223547943672,158,15,15.013658362254413,26,0,30.331511961326996,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,7,0.23766279530742407,39.34239928173883,54.48776321553771,15.259908096680157,60.514833054952504,134,11,15.194564816341012,94,1,21.441767725911014,1,1,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.3580523630446013,51.396206498478534,34.98038187235133,36.70645007908523,68.6222878939674,62,13,22.349641447310766,54,0,28.027780301839144,1,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,5,0.4006061845918935,32.12674727673856,37.82157902137825,38.05891295635983,85.52040781814539,132,7,10.182351572160803,80,0,25.60743321825385,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.15722439741601188,90.2506807555107,76.69861787957443,67.9869450449643,10.626853377177333,737,22,16.97842383259221,2815,1,83.64870639183212,1,0,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,5,0.48726717902420547,33.732656605556805,44.98993150110135,26.51053836516253,75.41866340072124,53,11,24.49933331344161,25,1,24.81900837855652,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,-0.06387257588037079,86.25308239342618,74.58081451349227,63.13663374453073,22.249790141941666,543,36,18.138226408429187,2732,1,89.76358353042738,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.20582686190051158,37.421992411750374,51.65731089955453,14.938852847760062,72.45374818604164,168,5,18.574114742244156,45,1,44.74561302461311,1,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.09753437626076936,81.24238930678409,74.63511659457963,69.52636972966015,17.214954901104186,769,29,17.060746146439975,1396,0,91.48382921430212,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.49309338991446605,48.20195174152309,46.821791714952,12.434475356087175,88.54472130530363,187,6,22.07635477743494,19,0,28.499142872747917,1,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,-0.023676203421477166,86.05683591969536,70.06490726080501,88.66864139344068,10.572623876713056,421,26,12.47700419509815,492,1,84.74047270806356,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,8,0.5257535682676326,41.4637048337992,33.30671787746204,15.900645919384692,67.12449915508152,100,16,19.014182268065785,41,0,42.77932565450615,1,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.2501485053308933,83.30986793391828,73.05552268696667,61.08621784462155,21.022826723894674,688,25,14.429790813054606,1763,1,80.97758306240726,1,1,0,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.18548250347068287,91.36291162255603,78.34663699335387,63.76746308130482,25.310867393784054,325,25,14.587542840801575,1646,1,75.17159086315499,1,1,0,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,-0.0759118542219055,76.62979954618552,77.86025960369533,73.95370797443339,29.41954383178294,329,37,12.080589295945853,2680,1,73.20141579981306,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.4702760468157123,52.05648357722316,35.22679051844284,26.243439214826974,80.87353198035247,56,16,12.624323906439043,60,0,49.887610992737734,1,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.16272609243537958,78.9641253047104,67.88006447839645,89.98403682607741,22.44751862946348,460,31,18.728769364928812,1266,0,70.98570093221188,1,1,0,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,-0.012900518066391212,76.56603340959116,76.46863650711322,62.950347647706394,18.985490939132994,470,36,19.622675113364675,661,1,77.58512202070868,0,0,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,8,0.5590974266038902,52.35538486108843,31.910996525986192,36.87652543577978,83.81788157579894,66,5,18.359658629714627,13,0,34.00079362653225,0,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,-0.066251641424598,88.70012173326357,79.15506415210797,70.79977256337173,11.534467989120456,538,33,15.538683664401724,1268,1,82.26098686812801,1,0,0,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,7,0.4283628215008579,39.97280076523096,37.88832951657839,13.198708568097937,71.00394961938805,187,11,21.498939170680774,11,1,36.93919573688606,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.577892808916564,44.022045337496095,45.335284730267695,15.011018382762256,89.7350587841093,108,12,24.140976612026883,63,0,44.91927553251874,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,5,0.2737483682715853,32.71010881732823,49.274648138386965,12.047491160622748,85.11236972109089,60,8,20.785688577763683,39,1,48.47920391173297,0,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,-0.03088413924701472,82.15281099177822,70.81487731781348,78.44312859468786,28.0555209552909,570,26,17.228823620281812,2859,1,71.66736018843805,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.40627177107859913,57.58175919643252,42.424087072645754,39.764740444699385,85.54274873235288,61,19,15.957681661438166,38,1,31.418698804297403,1,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.10408516659124883,77.55699473986934,79.77984126312488,71.90663934674757,15.258484952642942,665,29,13.935246180734062,1332,1,93.638227620187,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.5523580642179009,31.488177250484483,36.42656730473022,23.9510900266273,66.80935618414563,68,14,23.78812046580588,89,1,27.852533004034473,0,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,-0.0337836820707651,89.62707943554756,75.48898788944504,89.42719674870389,21.05660712184799,443,24,16.831023916992702,1730,1,80.92606667948549,1,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.031741409699981876,77.76464173570675,72.98080904096608,89.39743298347142,14.517628258671518,320,37,12.816599398128783,2707,1,96.16318191239743,1,0,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.5595603296024941,53.47454773691814,35.696060438577746,39.27972548796377,80.02051194139285,98,8,19.225194520583,78,0,48.79479554227787,0,1,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,8,0.4512478124974287,57.919274290558796,46.902625645358796,19.217168855431616,71.10073572428448,72,6,18.768146698891872,57,0,21.861102908863444,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,-0.03455351834468949,88.83555278283964,78.48587147400049,89.39866342074835,29.712014679056008,658,34,19.096341955575696,1837,1,93.42097912514886,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.3290203056954402,55.46009384774023,33.41553328605072,31.26732990730356,76.58459930723723,75,7,13.84310415391687,24,1,35.34027196582814,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.38958797657222244,40.65312909837914,46.2205710072894,24.387463052627506,77.52598454142507,83,19,21.18159211276495,83,0,30.12340501615754,1,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,7,0.3589272461830392,42.80366716010248,49.99455055185673,20.48160997147999,74.04695485324137,98,17,15.66588921160254,16,0,21.97125918285057,1,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.26892311019343396,83.51786310073363,84.71048266510437,76.62175150380632,28.616657283516147,595,35,19.224405224820124,2899,0,82.64662744654103,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.39243517935503436,44.91035846463747,49.13390702665602,13.089444379939465,70.03088433931447,104,11,21.298693311211764,10,0,39.31998629717047,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.40245674513609764,43.1853506589873,32.6416171065436,29.224789440706186,66.48114547528799,179,16,15.471973287167941,31,0,43.422847582053194,0,0,1,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.26321395053428864,79.71374228661419,83.16517109354132,69.28444737584601,29.528264447681124,308,36,19.62748659806268,2908,1,98.20935402783255,1,1,0,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,7,0.4525230212367955,47.75091486918977,47.56584432713791,17.123004051244187,75.37091332637372,77,8,15.767669914672188,45,1,27.880269277959552,0,0,1,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.0744166331651801,87.46294734671913,81.81106713502528,80.47934646879395,14.167215781497147,609,36,14.61392849981897,1094,1,92.04124016721093,1,0,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,7,0.44779910056303507,38.920651447105165,40.75842943772303,15.119942756499952,62.23889443011245,164,11,20.38242012541198,97,0,49.9009056155893,1,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.3980586108055897,44.41759731979944,44.81019461648794,34.740428977754476,70.43427623706579,147,12,18.485979459936864,33,1,43.92278064820785,0,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.09753967828324012,94.23204051149757,80.3928432776731,74.64928928477535,16.75438289124434,341,31,17.98688666742896,2990,1,91.63477804641632,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.5537914910387036,46.61979766509393,43.36398047890772,15.863740011051997,64.98688086154976,150,17,14.91757298275051,73,1,23.447190300857308,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,-0.08327135048541386,87.4777788632594,76.25024238270633,72.06393465086629,22.8778788354642,354,31,14.004652612753542,552,1,89.72332981532395,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.5843680587715299,46.07805236556355,42.21239081649763,22.056615996721902,64.61073128532614,86,5,14.155187864889681,36,0,42.2169416977853,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.2904282344127618,80.13663149134118,74.12254417893267,60.90060677152009,17.94455059132465,649,23,19.9335956881485,2611,1,86.41382927706701,0,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.19712860063394635,76.0170793766748,69.4224652577803,68.22785550476699,20.952239682856188,596,30,13.071529755200004,1853,1,72.05508377715682,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.5351633499407213,55.76292838048417,48.708896341643495,23.17631803749152,78.31640265046273,78,19,20.104681262123613,13,1,31.544108516633095,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,5,0.3644084301062183,57.22833007669665,47.850816111671406,28.237156422721114,69.28118153588346,94,14,24.325907672274834,69,0,39.09204110550221,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,5,0.29659859410274714,31.210524805790993,40.27978794986465,13.902420094868408,60.67277667486165,198,7,16.090177025591657,30,0,39.63026016478159,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.35805509730572743,31.18378598672698,41.88865093717067,26.290737518729895,66.83249208309628,113,15,23.64181916405863,11,0,33.75399273707774,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,-0.08376571514612197,93.27454988012919,81.65988277106001,68.92712149322446,25.785813093542096,477,24,19.734924402347147,716,1,80.87749637784032,0,1,0,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.09759487205739648,90.83280144366125,74.51408156378113,76.09869839206482,25.422720963416445,539,21,15.27475936705914,1426,1,88.108962996792,1,0,0,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,5,0.4550752987583742,37.260662399426316,47.85131808445317,12.741744589953292,65.97811009400402,160,8,10.206183310170179,63,0,20.474395886988862,0,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.06254656211098461,84.70145818285391,75.8165412794308,84.5508192418565,13.433563900864339,503,25,17.543027421573218,850,1,94.53365291768259,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,7,0.3482568588267564,54.383987017725076,53.68121443459647,39.58003191468613,82.60134555776824,119,16,11.252510750480031,61,0,41.15253092889979,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.5238700145063557,58.51598462863227,30.55165371705727,39.47563816768116,62.58396417191041,78,5,18.50339194374304,15,1,20.723305802260004,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.17166867981519715,76.48149814420896,84.85664263363951,72.23682710340572,15.748050676909651,705,28,16.698782329944223,867,0,83.48750058760787,1,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.2290545086228882,80.42718070382274,68.70415023287786,80.43939556043652,20.66789783013609,509,27,14.054156124303304,2983,1,88.4620226412772,1,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.24718577867286332,87.61940889740116,74.45961962741472,80.16343380296397,22.144589005967816,620,31,15.037046939885075,592,1,89.43008068362478,1,1,0,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.3336035514980952,37.16070093903053,53.252258762743466,13.17502281485752,80.96972214118763,56,9,23.213061387983927,58,0,46.37214440684395,0,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.016635251264462927,80.33798576197543,83.59011410736298,65.17339166921577,21.592649164036363,314,27,17.91697347722396,841,1,92.4167393526576,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.5387875416828242,56.79270615586245,31.561439840476787,36.50394288958182,73.44957166108267,62,19,19.398887666398153,31,1,42.87789184082526,1,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.5352461158592441,58.3384265842207,47.081200707241145,24.91524292025282,78.53541720603641,185,19,18.559146199582443,76,0,43.8653111508921,1,0,1,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,8,0.3191908941983375,32.69278501680471,52.77065661715788,10.181411295519352,74.51580656592934,111,12,14.615186342169228,81,0,37.11228474210925,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.20715054545348457,90.03589174734513,76.76731378435314,66.37992859534029,11.94036436474179,425,31,16.741568533143024,1269,0,82.80684183469907,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,3,0.2904316284042251,54.519159366397105,53.259960504233135,12.860827638190106,73.50175918278676,142,19,23.060326831861587,30,0,29.959948827132955,0,1,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.17500083712176642,84.40576953406352,74.17613908538071,89.50927593098436,17.84889697085141,466,29,18.755410664960696,1074,1,88.00043432441906,0,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,6,0.3541503532189447,49.30095539735353,49.50999440368186,16.516272930736317,64.13468697477707,103,12,12.675588764609948,74,1,30.664790313240722,1,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,1,0.013384459705631666,88.73511440563817,78.48439264894793,66.6448064657892,10.695983997367001,427,32,14.313545215726958,2966,1,98.41120834433077,1,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,5,0.36128310245330086,55.00932031425517,50.366775117749725,28.354930603096644,71.20373835398115,156,6,11.58811477319694,32,1,35.949830712934485,0,0,0,1
Congratulations! You have won a $5000 scholarship. Click now to claim.,9,0.24691205912017802,35.071853353191486,38.79512516025881,32.85027628640988,75.212472721808,132,19,17.015218187273156,66,0,33.39325765389646,0,0,0,1
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,0.2682512546843103,76.87265786667258,84.10126374252474,78.32779162450434,10.025361538309806,768,21,16.173694410935347,1045,0,98.43569701760983,1,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,0,-0.05442189222218259,88.52283577202914,79.04194376758983,81.62679657156293,24.56941891117184,368,28,19.631366430773777,2859,1,70.46929885922303,1,1,1,0
Apply now for the 2024 University of XYZ merit-based scholarship. No fees required.,2,0.21610396157667752,80.9150566924066,74.91307841766493,72.63356713302245,18.210455687028556,632,27,13.090968840235668,2850,0,75.94392225470732,0,1,1,0
Congratulations! You have won a $5000 scholarship. Click now to claim.,4,0.2682833453249921,30.913910589268802,35.11120931160683,20.21234668342779,75.31742272378679,165,19,23.659085758216328,74,1,23.70202445616789,0,0,0,1
